,date,gender,age,lat,lng,url
4624,2013-05-12,M,21.0,37.769025,-122.179173210734,http://www.mercurynews.com/breaking-news/ci_23234474/man-shot-and-killed-berkeley-hills-identified
4625,2013-05-12,M,11.0,30.1896756,-82.6392899,http://www.gainesville.com/article/20130514/ARTICLES/130519801
4626,2013-05-12,M,33.0,42.3486635,-83.0567375,http://chamspage.blogspot.com/2013/01/2013-detroit-homicides.html
4627,2013-05-12,M,18.0,41.8756208,-87.6243706,http://articles.chicagotribune.com/2013-05-13/news/chi-teen-dies-day-after-being-shot-20130513_1_spencer-gas-station-life-support
4628,2013-05-12,M,38.0,40.2170575,-74.7429463,http://www.cnn.com/2013/05/12/justice/new-jersey-standoff/index.html
4629,2013-05-12,F,80.0,35.262082,-81.1873005,http://www.gastongazette.com/80-year-old-great-grandmother-shot-killed-by-roommate-1.141991
4630,2013-05-12,M,21.0,41.8756208,-87.6243706,"http://www.chicagotribune.com/news/local/breaking/chi-man-killed-in-englewood-neighborhood-20130512,0,456216.story"
4631,2013-05-12,M,20.0,41.8756208,-87.6243706,http://evanston.patch.com/groups/police-and-fire/p/death-of-former-eths-student-killed-in-chicago-may-be4c16133819
4632,2013-05-12,M,37.0,41.0997803,-80.6495194,http://www.ohio.com/news/man-killed-mom-wounded-in-youngstown-shooting-1.397337
4633,2013-05-12,M,27.0,39.7459468,-75.546589,http://abclocal.go.com/wpvi/story?section=news/local&id=9099879
4634,2013-05-12,M,22.0,35.0529931,-78.8787058,https://nixle.com/alert/5001148/
4635,2013-05-12,M,24.0,29.9682672,-95.530660006044,http://www.chron.com/news/houston-texas/houston/article/iPod-records-1-of-3-recent-Houston-killings-4598488.php
4636,2013-05-12,M,21.0,41.5833658,-87.500043,http://chicago.cbslocal.com/2013/05/13/hammond-man-shot-and-killed-at-house-party/
4637,2013-05-12,M,24.0,39.9448436,-75.1198694,http://www.nj.com/camden/index.ssf/2013/05/camden_man_shot_and_killed_ear.html
4638,2013-05-12,M,,47.6038321,-122.3300624,http://seattletimes.com/html/localnews/2021029702_shootingvictimxml.html
4639,2013-05-12,M,42.0,36.1524357,-95.9904093,http://www.ktul.com/story/22227911/one-killed-in-south-tulsa-shooting
4640,2013-05-13,F,38.0,42.3917638,-71.0328284,http://www.chelsearecord.com/2013/05/16/two-deaths-believed-suspicious-under-investigation/
4641,2013-05-13,F,31.0,28.8921939,-99.095033,http://www.kens5.com/news/Two-dead-in-Pearsall-believed-to-be-military-veterans-involved-in-murder-suicide-207292031.html
4642,2013-05-13,M,51.0,28.8921939,-99.095033,http://murder-suicide.blogspot.com/2013/05/vets-found-dead-in-rv-park.html
4643,2013-05-13,M,59.0,34.0536781,-118.2427025,http://projects.latimes.com/homicide/post/keith-alexander-reynolds/
4644,2013-05-13,M,37.0,34.0536781,-118.2427025,http://projects.latimes.com/homicide/post/alvaro-jimenez/
4645,2013-05-13,M,36.0,34.0501713,-118.2419714,http://www.presstelegram.com/news/ci_23249020/downey-man-fatally-shot-east-los-angeles-is
4646,2013-05-13,M,10.0,29.9682672,-95.530660006044,http://houston.cbslocal.com/2013/05/20/hpd-arrests-one-suspect-others-sought-in-fatal-shooting/
4647,2013-05-13,F,29.0,29.9682672,-95.530660006044,http://houston.cbslocal.com/2013/05/20/hpd-arrests-one-suspect-others-sought-in-fatal-shooting/
4648,2013-05-13,M,23.0,41.765599,-72.69058562930721,"http://www.courant.com/community/hartford/hc-hartford-shooting-blue-hills-0514-20130513,0,47941.story"
4649,2013-05-13,M,24.0,39.2908608,-76.6108073,http://data.baltimoresun.com/homicides/victim/1527/
4650,2013-05-13,M,52.0,39.5218565,-119.6285169,http://www.ktvn.com/story/22261318/lyon-authorities-identify-all-homicide-victims-charge-bean
4651,2013-05-13,F,67.0,39.6079951,-119.2518245,http://www.ktvn.com/story/22261318/lyon-authorities-identify-all-homicide-victims-charge-bean
4652,2013-05-13,M,69.0,39.6079951,-119.2518245,http://www.ktvn.com/story/22261318/lyon-authorities-identify-all-homicide-victims-charge-bean
4653,2013-05-13,M,38.0,33.95775315,-84.0424256042861,http://www.ajc.com/news/news/mom-calls-police-on-son-later-shot-by-officers/nXrRm/
4654,2013-05-13,M,22.0,41.820168,-73.256658,http://brooklyn.news12.com/news/tri-state/police-robert-rivera-shot-in-someone-else-s-car-in-bridgeport-1.5250246?firstfree=yes
4655,2013-05-13,F,50.0,39.0992752,-76.8483061,http://baltimore.cbslocal.com/2013/05/13/breaking-multiple-people-shot-in-laurel-man-in-custody/
4656,2013-05-13,F,27.0,39.0992752,-76.8483061,http://baltimore.cbslocal.com/2013/05/13/breaking-multiple-people-shot-in-laurel-man-in-custody/
