,names,state,males,females,lat,lng,total_deaths
2873,"Orange, New Jersey",NJ,4,0,40.7706562,-74.2326463,4
2874,"Paramus, New Jersey",NJ,2,0,40.9445428,-74.0754189,2
2875,"Parsippany, New Jersey",NJ,1,1,40.8578772,-74.4259866,2
2876,"Passiac, New Jersey",NJ,1,0,40.8567662,-74.1284764,1
2877,"Paterson, New Jersey",NJ,4,2,40.9167654,-74.171811,6
2878,"Patterson, New Jersey",NJ,4,0,40.8139896,-73.9234703,4
2879,"Pemberton Twp, New Jersey",NJ,1,0,39.9548175,-74.5932209495617,1
2880,"Pennsauken, New Jersey",NJ,1,1,39.9562238,-75.0579502,2
2881,"Perth Amboy, New Jersey",NJ,1,0,40.5067723,-74.2654234,1
2882,"Plainfield, New Jersey",NJ,2,0,40.6337136,-74.4073737,2
2883,"Point Pleasant Beach, New Jersey",NJ,1,0,40.0916569,-74.048052,1
2884,"Quinton, New Jersey",NJ,1,0,39.5459466,-75.4124178,1
2885,"Rahway, New Jersey",NJ,1,0,40.6081591,-74.2776468,1
2886,"Salem, New Jersey",NJ,1,0,39.5980987,-75.3488201,1
2887,"Somerset, New Jersey",NJ,1,0,40.5675084,-74.6189556,1
2888,"South Brunswick, New Jersey",NJ,1,0,40.384923,-74.5204753018018,1
2889,"South River, New Jersey",NJ,1,0,40.446495,-74.3859831,1
2890,"Toms River, New Jersey",NJ,1,0,39.999917,-74.1840221615951,1
2891,"Trenton, New Jersey",NJ,33,1,40.2170575,-74.7429463,34
2892,"West New York, New Jersey",NJ,1,1,40.7878788,-74.0143064,2
2893,"Woodbridge, New Jersey",NJ,1,1,40.554319,-74.2860154696457,2
2894,"Woodbury, New Jersey",NJ,1,0,39.8381691,-75.1526774,1
2895,"Burlington County, New Jersey",NJ,0,1,39.862536,-74.6812730607175,1
2896,"Kearny, New Jersey",NJ,0,1,40.7684342,-74.1454214,1
2897,"Riverton, New Jersey",NJ,0,1,40.0115009,-75.0148931,1
2898,"Ashford, Connecticut",CT,1,0,41.8731532,-72.1214653,1
2899,"Bridgeport, Connecticut",CT,8,0,41.1670412,-73.2048348,8
2900,"Buford, Connecticut",CT,1,0,41.820168,-73.256658,1
2901,"Coventry, Connecticut",CT,1,1,41.7700987,-72.3050803,2
2902,"East Windsor, Connecticut",CT,1,0,42.4778637,-72.9856541,1
2903,"Fair Haven, Connecticut",CT,1,0,41.3112082,-72.8956569,1
2904,"Fairfield, Connecticut",CT,1,0,41.2943069,-73.37486,1
2905,"Farmington, Connecticut",CT,1,0,41.7198216,-72.8320435,1
2906,"Greenwich, Connecticut",CT,1,0,41.0264862,-73.6284598,1
2907,"Hartford, Connecticut",CT,18,2,41.765599,-72.69058562930721,20
2908,"Manchester, Connecticut",CT,1,3,41.7759324,-72.5214755,4
2909,"Milford, Connecticut",CT,1,0,41.2223194,-73.0564953,1
2910,"New Britain, Connecticut",CT,1,0,41.6804055,-72.78827613422091,1
2911,"New Fairfield, Connecticut",CT,1,0,41.4664832,-73.4856789,1
2912,"New Haven, Connecticut",CT,17,1,41.30729,-72.9257003,18
2913,"New London, Connecticut",CT,1,0,41.331748,-72.09655138870819,1
2914,"Newtown, Connecticut",CT,9,19,41.4123225,-73.3114235802945,28
2915,"Norwalk, Connecticut",CT,1,0,41.0958545,-73.4205389859629,1
2916,"Norwich, Connecticut",CT,2,0,41.549491,-72.0892280657633,2
2917,"Preston, Connecticut",CT,2,1,41.490374,-73.152056,3
2918,"Ridgefield, Connecticut",CT,1,0,41.2671885,-73.49350438532579,1
2919,"Salem, Connecticut",CT,1,0,41.4903761,-72.275359,1
2920,"Stamford, Connecticut",CT,1,0,41.0716945,-73.54429712068959,1
2921,"Stonington, Connecticut",CT,1,0,41.332649,-71.90233628830191,1
2922,"Waterbury, Connecticut",CT,3,0,41.5647085,-73.0424816302171,3
2923,"Waterford, Connecticut",CT,2,0,41.3542395,-72.164816,2
2924,"West Haven, Connecticut",CT,2,0,41.2706527,-72.9470471,2
2925,"Willimantic, Connecticut",CT,2,0,41.71232,-72.2149800640803,2
2926,"Attleborough, Massachusetts",MA,1,0,41.9250996,-71.3494994,1
